Brand,Coe_left,Mileage,Road Tax,COE,Engine Cap,Curb Weight,Manufactured,OMV,Power,No. of Owners,Price,Type_Hatchback,Type_Luxury Sedan,Type_MPV,Type_Mid-Sized Sedan,Type_SUV,Type_Sports Car,Type_Stationwagon,Transmission_Auto,Transmission_Manual
Mercedes-Benz,7.13,41000,740,31001,1595,1430,2018,32949,90,1,122800,0,1,0,0,0,0,0,1,0
Volkswagen,4.06,159044,682,16438,1390,1285,2010,24363,118,6,36600,0,0,0,0,0,1,0,1,0
Volvo,6.67,23000,684,36890,1498,1558,2017,26098,90,1,85777,0,1,0,0,0,0,0,1,0
Subaru,8.83,8500,1208,37989,1995,1591,2019,16322,115,1,113777,0,0,0,0,1,0,0,1,0
Mitsubishi,1.32,216176,1028,22041,1584,1162,2007,11060,79,3,11800,0,0,0,1,0,0,0,0,1
Mercedes-Benz,8.62,19000,740,35320,1595,1435,2019,28463,90,1,131777,0,0,0,0,1,0,0,1,0
Toyota,8.48,32000,1210,41805,1998,1695,2019,35785,170,1,132800,0,0,0,0,1,0,0,1,0
Mercedes-Benz,5.03,45000,740,47300,1595,1395,2015,23253,90,1,73888,1,0,0,0,0,0,0,1,0
Nissan,5.95,38000,508,51106,1197,1265,2017,17532,85,1,58800,1,0,0,0,0,0,0,1,0
Hyundai,5.31,35200,738,50000,1591,1345,2016,11680,93,1,53800,0,0,0,1,0,0,0,1,0
Mazda,7.97,31000,1210,48010,1998,1290,2018,17389,115,1,82800,0,0,0,0,1,0,0,1,0
Mercedes-Benz,1.37,71000,7404,80001,6208,1730,2012,97182,336,4,118800,0,0,0,0,0,1,0,1,0
Toyota,1.15,127000,1210,85889,1998,1445,2012,23475,109,2,29500,0,1,0,0,0,0,0,1,0
BMW,1.15,138000,1210,86999,1997,1420,2012,35065,135,1,39500,0,1,0,0,0,0,0,1,0
Toyota,9.31,13000,392,38504,996,970,2020,22129,72,1,85800,0,0,0,0,1,0,0,1,0
Kia,7.43,34805,738,28000,1591,1287,2018,13931,93,1,71800,0,0,0,1,0,0,0,1,0
Mitsubishi,5.19,108388,1636,56000,2360,1530,2016,23152,123,1,69800,0,0,0,0,1,0,0,1,0
Volkswagen,4.85,47088,620,45504,1390,1417,2015,21562,90,2,56800,0,0,0,1,0,0,0,1,0
Hyundai,9.21,15000,738,35710,1591,1345,2019,18576,93,1,88800,0,0,0,1,0,0,0,1,0
Mercedes-Benz,6.87,57000,1202,37605,1991,1605,2018,55451,135,1,161800,0,1,0,0,0,0,0,1,0
Mazda,8.55,34000,1210,37989,1998,1290,2018,21515,115,1,95800,0,0,0,0,1,0,0,1,0
Honda,5.82,79800,1628,53300,2354,1574,2016,29670,140,1,83800,0,0,0,0,1,0,0,1,0
Mercedes-Benz,8.59,110600,1169,39463,1796,1615,2009,51194,135,3,78000,0,1,0,0,0,0,0,1,0
Toyota,5.1,73000,1792,57010,2494,1475,2016,29296,133,2,77000,0,1,0,0,0,0,0,1,0
Honda,9.22,7530,78,18710,1317,1030,2019,15555,73,1,65888,1,0,0,0,0,0,0,1,0
BMW,6.31,61989,684,42902,1499,1480,2017,28741,75,1,96800,0,0,1,0,0,0,0,1,0
Hyundai,6.17,95000,738,44002,1591,1345,2017,12739,93,1,88800,0,0,0,1,0,0,0,1,0
Honda,8.02,30000,682,33199,1496,1190,2019,22826,96,1,82800,0,0,0,0,1,0,0,1,0
Mercedes-Benz,0.81,135000,742,56551,1597,1500,2012,30319,115,3,32800,0,1,0,0,0,0,0,1,0
Hyundai,8.02,21200,738,39728,1591,1594,2019,22322,130,1,106800,0,0,0,0,1,0,0,1,0
Land Rover,7.72,62000,1210,36667,1997,1983,2018,67378,184,1,236000,0,0,0,0,1,0,0,1,0
BMW,4.85,42000,4568,47000,4395,1850,2012,108276,412,4,255800,0,0,0,0,0,1,0,1,0
Mercedes-Benz,9.62,156,3922,49489,3982,1650,2020,241799,430,1,999888,0,0,0,0,0,1,0,1,0
BMW,9.4,6500,1210,40301,1998,1730,2019,47571,135,1,218800,0,0,0,0,1,0,0,1,0
Mazda,7.89,6380,710,31000,1998,1290,2018,17038,115,1,72000,0,0,0,0,1,0,0,1,0
Subaru,8.26,32000,1208,36001,1995,1591,2019,18058,115,1,109800,0,0,0,0,1,0,0,1,0
BMW,9.56,4827,684,32699,1499,1490,2020,34989,80,1,137800,0,0,1,0,0,0,0,1,0
Mazda,5.94,63000,1210,55414,1998,1535,2017,19597,111,1,70999,0,0,1,0,0,0,0,1,0
Nissan,7.48,47000,508,33798,1198,1048,2018,13438,58,1,61800,1,0,0,0,0,0,0,1,0
Nissan,7.47,5269,742,25000,1598,1205,2018,16212,85,1,73800,0,0,0,1,0,0,0,1,0
Toyota,4.83,126000,682,45000,1496,1090,2015,14472,80,3,47700,0,0,0,1,0,0,0,1,0
Mercedes-Benz,7.19,39152,1202,32809,1991,1780,2017,69867,180,1,226800,0,0,0,0,0,1,0,1,0
Mercedes-Benz,6.72,23958,740,42322,1595,1425,2017,37239,115,1,133800,0,1,0,0,0,0,0,1,0
Lamborghini,0.12,22500,5834,68811,5204,1500,2011,222743,412,4,278800,0,0,0,0,0,1,0,1,0
BMW,9.52,8201,1210,39500,1998,1745,2020,56781,185,1,247800,0,0,0,0,1,0,0,1,0
Mercedes-Benz,9.97,88,1202,58089,1991,1855,2020,80639,200,1,309800,0,0,0,0,0,1,0,1,0
Mercedes-Benz,8.14,10000,586,39728,1332,1405,2019,29676,100,1,131800,1,0,0,0,0,0,0,1,0
BMW,1.14,111000,1210,86999,1997,1510,2011,35029,135,4,36800,0,0,0,0,1,0,0,1,0
Toyota,4.99,80000,976,24858,1798,1360,2011,21503,106,2,47800,0,0,1,0,0,0,0,1,0
Hyundai,8.36,30800,738,34001,1591,1345,2019,14886,93,1,79800,0,0,0,1,0,0,0,1,0
Volvo,5.47,75559,684,50951,1498,1630,2016,27946,90,1,78800,0,0,0,0,0,0,1,1,0
Toyota,7.72,121965,965,25727,1598,1195,2009,16990,80,5,46998,0,0,0,1,0,0,0,1,0
Mercedes-Benz,3.49,80000,1202,72002,1991,1680,2014,49580,155,1,86800,0,1,0,0,0,0,0,1,0
Mercedes-Benz,8.65,6700,586,40009,1332,1405,2019,29676,100,1,141800,1,0,0,0,0,0,0,1,0
Mercedes-Benz,9.97,50,3922,52200,3982,2560,2020,147425,430,1,674988,0,0,0,0,1,0,0,1,0
Mercedes-Benz,8.66,106000,3797,38071,3498,1825,2007,58975,200,2,93800,0,0,0,0,0,1,0,1,0
Mitsubishi,8.17,25159,710,22406,1998,1365,2018,17806,110,1,75800,0,0,0,0,1,0,0,1,0
Honda,7.3,172000,1815,33377,2156,1250,2008,35251,178,5,135000,0,0,0,0,0,1,0,0,1
BMW,0.38,75653,1796,75889,2497,1650,2011,43894,150,3,35000,0,1,0,0,0,0,0,1,0
Volkswagen,9.05,158000,1313,33568,1984,1466,2010,36556,188,5,90000,0,0,0,0,0,1,0,1,0
Honda,7.69,160000,2116,31933,2354,1680,2008,37136,132,2,48800,0,0,1,0,0,0,0,1,0
Toyota,9.93,35,1792,49778,2493,1940,2018,39236,134,1,188800,0,0,1,0,0,0,0,1,0
Honda,7.51,56000,742,28199,1597,1249,2018,19964,92,1,85888,0,0,0,1,0,0,0,1,0
Lexus,4.05,107000,1792,71509,2494,1615,2015,34805,135,1,85800,0,1,0,0,0,0,0,1,0
Mercedes-Benz,7.05,53000,740,38001,1595,1430,2018,29059,90,1,114888,0,1,0,0,0,0,0,1,0
Mitsubishi,8.99,170000,1331,33568,1998,1625,2009,54313,217,3,182800,0,0,0,0,0,1,0,1,0
Audi,4.59,49000,624,54920,1395,1480,2015,29898,110,1,81888,0,0,0,0,1,0,0,1,0
BMW,3.65,95000,1210,75200,1997,1615,2013,44708,135,2,82880,0,1,0,0,0,0,0,1,0
Toyota,5.54,32800,682,48000,1496,1350,2016,19893,79,1,66800,0,0,1,0,0,0,0,1,0
Audi,7.14,45000,1194,31000,1984,1495,2018,42972,140,3,148888,0,0,0,0,0,1,0,1,0
Honda,8.44,11810,578,32309,1318,1052,2019,16826,73,1,75800,1,0,0,0,0,0,0,1,0
Toyota,7.69,28000,682,25920,1496,1085,2019,13936,79,1,70800,0,0,0,1,0,0,0,1,0
Mercedes-Benz,6.92,17000,740,39903,1595,1435,2018,28937,90,2,112800,0,0,0,0,1,0,0,1,0
Opel,6.26,28000,392,42900,999,1188,2017,19155,77,1,56800,1,0,0,0,0,0,0,1,0
Honda,6.99,41000,684,38941,1497,1096,2018,17094,88,2,69888,0,0,0,1,0,0,0,1,0
Honda,4.91,82336,684,45504,1498,1046,2016,16198,96,1,55888,1,0,0,0,0,0,0,1,0
Mitsubishi,7.36,20888,70,11000,1193,940,2018,13581,59,1,50800,0,0,0,1,0,0,0,1,0
Nissan,8.47,21439,508,32000,1198,1048,2019,13465,58,1,70800,1,0,0,0,0,0,0,1,0
Honda,5.46,108000,1630,53001,2356,1855,2016,32594,129,1,90888,0,0,1,0,0,0,0,1,0
BMW,7.36,26000,684,31301,1499,1430,2018,34049,103,1,124999,0,0,0,0,1,0,0,1,0
Mercedes-Benz,9.97,88,2384,60001,2999,2065,2020,118133,336,1,544800,0,1,0,0,0,0,0,1,0
Volkswagen,4.47,44000,624,59200,1395,1249,2014,22740,90,2,58800,1,0,0,0,0,0,0,1,0
Toyota,4.01,98000,1196,75000,1986,1610,2014,25581,111,2,62800,0,0,0,0,1,0,0,1,0
MINI,7.36,15000,684,25000,1499,1140,2018,24006,75,1,92900,1,0,0,0,0,0,0,1,0
Hyundai,4.24,50000,738,56209,1591,1292,2015,15175,97,1,48800,0,0,0,1,0,0,0,1,0
BMW,9.4,6100,1210,40301,1998,1685,2019,41033,135,1,203800,0,0,0,0,1,0,0,1,0
Hyundai,7.26,50000,738,30209,1591,1345,2018,14538,93,1,69800,0,0,0,1,0,0,0,1,0
Audi,2.15,83000,2380,76802,2995,1880,2012,83962,213,2,111000,0,1,0,0,0,0,0,1,0
Toyota,6.21,39000,1210,49802,1998,1695,2017,33308,170,3,103800,0,0,0,0,1,0,0,1,0
Honda,8.71,9012,578,32999,1317,1030,2019,15632,73,1,72588,1,0,0,0,0,0,0,1,0
Mercedes-Benz,5.7,70000,2382,46229,2996,1940,2016,90290,200,1,228000,0,1,0,0,0,0,0,1,0
Mazda,6.79,41500,182,38830,1496,1068,2017,14481,85,1,60800,1,0,0,0,0,0,0,1,0
Mercedes-Benz,4.82,32487,740,43000,1595,1395,2015,23253,90,1,73700,1,0,0,0,0,0,0,1,0
Mitsubishi,9.32,146000,1210,34935,1998,1625,2009,53745,217,5,138800,0,0,0,0,0,1,0,1,0
Hyundai,0.73,120000,738,52809,1591,1267,2012,14495,95,1,17555,0,0,0,1,0,0,0,1,0
Honda,5.81,56000,684,50789,1498,1046,2016,17910,96,2,62000,1,0,0,0,0,0,0,1,0
Mercedes-Benz,2.89,50000,1202,73810,1991,1615,2013,47595,135,2,83800,0,0,0,0,0,1,0,1,0
Honda,8.48,24000,578,27000,1317,1030,2019,18629,73,2,72800,1,0,0,0,0,0,0,1,0
Hyundai,8.51,18000,738,37900,1591,1594,2019,19598,130,1,109800,0,0,0,0,1,0,0,1,0
BMW,1.64,66000,742,91010,1598,1405,2012,33146,100,1,37800,0,1,0,0,0,0,0,1,0
Volkswagen,9.32,142000,682,33140,1390,1285,2010,26423,118,4,69800,0,0,0,0,0,1,0,1,0
Mazda,7.55,21000,682,23568,1496,1310,2018,14329,88,1,73588,0,0,0,1,0,0,0,1,0
BMW,1.81,68000,742,64209,1598,1405,2013,33404,100,1,41988,0,1,0,0,0,0,0,1,0
BMW,4.31,72000,684,62101,1499,1360,2015,26883,100,3,67800,1,0,0,0,0,0,0,1,0
Toyota,7.96,35000,682,33199,1496,1085,2019,13788,79,1,74800,0,0,0,1,0,0,0,1,0
Honda,0.84,170600,1467,26004,1799,1350,2007,19024,103,4,8500,0,0,1,0,0,0,0,1,0
Volvo,5.63,66000,1176,52807,1969,1716,2016,37621,187,2,117000,0,1,0,0,0,0,0,1,0
Subaru,7.73,175000,1447,31933,1994,1590,2008,35867,165,4,62000,0,0,1,0,0,0,0,1,0
Volkswagen,1.23,110000,620,68656,1390,1285,2012,26183,118,3,32000,0,0,0,0,0,1,0,1,0
Mercedes-Benz,6.87,195502,1364,40881,1796,1675,2007,62252,135,6,59888,0,0,0,0,0,1,0,1,0
BMW,8.97,155000,1976,33568,2497,1650,2010,45032,150,4,74000,0,1,0,0,0,0,0,1,0
Volkswagen,0.56,28000,620,52392,1390,1241,2011,22686,90,2,28888,1,0,0,0,0,0,0,1,0
Audi,2.39,16639,1194,87910,1984,1565,2013,38181,132,2,62900,0,1,0,0,0,0,0,1,0
Mercedes-Benz,8.31,25000,586,37000,1332,1410,2019,41333,100,1,161800,0,1,0,0,0,0,0,1,0
BMW,8.78,60000,4738,35416,3999,1830,2008,105658,308,3,125800,0,0,0,0,0,1,0,1,0
Skoda,8.4,14000,1194,40000,1984,1577,2018,26300,180,1,129999,0,0,0,1,0,0,0,1,0
Subaru,7.32,23000,710,14000,1998,1682,2018,16744,177,1,95018,0,0,0,0,1,0,0,1,0
Audi,4.8,60000,624,50089,1395,1480,2016,29869,110,2,83888,0,0,0,0,1,0,0,1,0
BMW,6.19,59000,1210,53711,1997,1680,2017,36108,135,1,135800,0,0,0,0,1,0,0,1,0
Honda,8.07,24000,578,29159,1317,1030,2019,15365,73,1,69800,1,0,0,0,0,0,0,1,0
Nissan,6.04,58300,1210,50110,1997,1626,2017,24596,106,1,85300,0,0,0,0,1,0,0,1,0
Mercedes-Benz,6.79,75000,1202,42661,1991,1615,2017,60411,155,2,174800,0,1,0,0,0,0,0,1,0
Mercedes-Benz,9.25,5500,684,33000,1497,1505,2020,33169,95,1,155800,0,1,0,0,0,0,0,1,0
BMW,9.05,17000,1210,32500,1998,1540,2019,51807,135,1,205000,0,1,0,0,0,0,0,1,0
Maserati,6.23,24000,2362,50000,2979,1900,2013,110700,302,2,285000,0,1,0,0,0,0,0,1,0
Toyota,3.19,138000,1169,19968,1797,1340,2009,21599,106,4,27200,0,0,1,0,0,0,0,1,0
Toyota,3.17,113000,1638,69001,2362,1790,2013,31278,125,2,59800,0,0,1,0,0,0,0,1,0
Honda,6.82,41505,682,38830,1496,1130,2017,19813,97,2,71888,0,0,0,0,0,0,1,1,0
Mazda,4.46,96000,682,56001,1496,1321,2015,15032,88,1,48800,0,0,0,1,0,0,0,1,0
BMW,4.09,96500,2362,65501,2979,1845,2014,75053,235,3,152000,0,1,0,0,0,0,0,1,0
Porsche,5.76,25000,3944,50621,3996,1995,2016,234198,404,3,568000,0,0,0,0,0,1,0,1,0
Toyota,5.54,57388,742,49751,1598,1205,2016,17982,90,1,63888,0,0,0,1,0,0,0,1,0
Honda,7.81,145000,1573,33018,1997,1505,2008,33066,115,2,53777,0,1,0,0,0,0,0,1,0
Toyota,7.05,178000,1264,37906,1794,1310,2008,18803,97,2,48000,0,0,1,0,0,0,0,1,0
BMW,1.22,126000,2362,92700,2979,1520,2012,52104,225,2,62800,0,1,0,0,0,0,0,1,0
Mercedes-Benz,3.97,58000,1202,78001,1991,1655,2014,42793,135,1,89800,0,1,0,0,0,0,0,1,0
Nissan,5.14,58000,508,53000,1197,1285,2016,18689,85,1,58800,0,0,0,0,1,0,0,1,0
Mazda,4.91,90000,682,47889,1496,1036,2016,15064,85,2,44800,1,0,0,0,0,0,0,1,0
Volvo,9.95,1889,1176,62100,1969,1695,2020,28316,140,1,165000,0,0,0,0,1,0,0,1,0
Maserati,6.48,30000,2362,48005,2979,1900,2017,106418,257,2,279800,0,1,0,0,0,0,0,1,0
Honda,6.31,212000,1694,50355,1998,1390,2007,23604,162,3,82000,0,0,0,0,0,1,0,0,1
MINI,3.15,73400,742,80710,1598,1335,2013,33001,135,2,70800,0,0,0,0,0,1,0,1,0
Mazda,4.39,83620,682,56209,1496,1321,2015,17996,88,1,50800,0,0,0,1,0,0,0,1,0
Kia,8.38,22100,738,31759,1591,1287,2019,12057,93,1,75800,0,0,0,1,0,0,0,1,0
Nissan,4.46,49667,508,56001,1197,1285,2015,18413,85,1,52800,0,0,0,0,1,0,0,1,0
Mazda,4.06,90646,682,61000,1496,1321,2015,14720,88,1,46800,0,0,0,1,0,0,0,1,0
Audi,5.48,30791,1194,56340,1984,1845,2016,36901,132,2,111000,0,0,0,0,1,0,0,1,0
BMW,1.53,81262,1210,86889,1997,1420,2012,35829,135,2,48800,0,1,0,0,0,0,0,1,0
BMW,9.9,122141,2362,47316,2979,1700,2011,66259,225,3,100800,0,1,0,0,0,0,0,1,0
Mitsubishi,4.99,24000,1636,49602,2360,1530,2016,22635,123,1,72800,0,0,0,0,1,0,0,1,0
Honda,7.84,22000,578,29159,1317,1030,2018,15937,73,1,65800,1,0,0,0,0,0,0,1,0
Kia,0.73,123000,738,57009,1591,1261,2011,13135,91,3,16800,1,0,0,0,0,0,0,1,0
Toyota,8.25,36183,2028,39728,2694,1875,2019,32425,122,1,147800,0,0,0,0,1,0,0,1,0
Mercedes-Benz,8.83,14700,1202,32801,1991,1795,2019,56277,190,1,248800,0,0,0,0,1,0,0,1,0
Audi,4.72,86521,1194,46970,1984,2050,2015,61144,185,1,159800,0,0,0,0,1,0,0,1,0
Honda,6.52,63000,1630,53711,2356,1855,2017,29808,129,1,106800,0,0,1,0,0,0,0,1,0
Lexus,7.79,41000,1784,35310,2487,1620,2018,39999,152,1,149800,0,1,0,0,0,0,0,1,0
Toyota,7.05,25187,1210,37989,1998,1695,2018,30808,170,1,109800,0,0,0,0,1,0,0,1,0
Toyota,7.48,115200,1264,32121,1794,1310,2008,18803,97,2,49800,0,0,1,0,0,0,0,1,0
Mercedes-Benz,6.62,49000,740,45289,1595,1425,2017,37239,115,1,123800,0,1,0,0,0,0,0,1,0
Honda,8.23,23000,578,31917,1317,1030,2019,15064,73,1,69800,1,0,0,0,0,0,0,1,0
Toyota,6.86,63000,682,38000,1496,1085,2018,13707,79,2,63888,0,0,0,1,0,0,0,1,0
Kia,7.83,75176,738,25689,1591,1287,2018,13722,93,1,73888,0,0,0,1,0,0,0,1,0
Toyota,8.28,111600,890,29485,1598,1195,2009,17853,80,3,49800,0,0,0,1,0,0,0,1,0
Toyota,7.9,128402,1169,35411,1797,1340,2009,21562,106,5,55998,0,0,1,0,0,0,0,1,0
Mazda,9.19,4300,1210,36502,1998,1576,2019,24580,121,1,128800,0,0,0,0,1,0,0,1,0
Toyota,4.21,73858,976,60789,1798,1360,2015,23454,105,1,60800,0,0,1,0,0,0,0,1,0
Mazda,2.05,134586,742,66989,1598,1275,2012,17418,77,2,31800,0,0,0,1,0,0,0,1,0
Nissan,4.89,51000,508,47300,1197,1285,2016,18974,85,1,56800,0,0,0,0,1,0,0,1,0
Nissan,7.75,16000,508,26309,1197,1325,2018,20399,85,1,91700,0,0,0,0,1,0,0,1,0
Bentley,6.12,8500,3940,50110,3993,2417,2017,199843,373,1,538800,0,1,0,0,0,0,0,1,0
Toyota,5.02,60300,742,53694,1598,1215,2016,19990,90,1,64800,0,0,0,1,0,0,0,1,0
Nissan,6.47,40000,1210,57414,1997,1626,2017,24886,106,1,87800,0,0,0,0,1,0,0,1,0
Audi,5.72,58912,392,49430,999,1280,2016,24592,85,1,73800,0,1,0,0,0,0,0,1,0
Mitsubishi,5.95,67000,506,52000,1193,940,2016,14052,57,2,44500,0,0,0,1,0,0,0,1,0
BMW,5.62,71000,1210,52807,1997,1735,2016,40866,135,1,133800,0,0,0,0,1,0,0,1,0
Porsche,4.56,110373,2382,57501,2997,1940,2015,72190,250,3,185800,0,0,0,0,1,0,0,1,0
Mazda,8.19,128000,890,29328,1598,1275,2009,20044,77,5,54000,0,0,0,1,0,0,0,1,0
Toyota,4.96,141122,684,22069,1497,1095,2010,11891,80,2,35800,0,0,0,1,0,0,0,1,0
BMW,6.79,51000,684,38830,1499,1480,2018,32596,75,1,104888,0,0,1,0,0,0,0,1,0
Honda,5.56,75000,578,50951,1317,1020,2016,14535,73,1,52800,1,0,0,0,0,0,0,1,0
Hyundai,8.47,23000,600,40009,1353,1457,2019,18424,103,1,97800,0,0,0,0,0,0,1,1,0
Honda,1.77,159000,826,19637,1339,1010,2008,12436,73,4,14500,1,0,0,0,0,0,0,1,0
BMW,1.5,109000,3948,90200,3999,1675,2011,70137,309,2,150000,0,0,0,0,0,1,0,1,0
Toyota,5.44,60000,682,50991,1496,1320,2016,20924,80,1,58555,0,0,1,0,0,0,0,1,0
Mercedes-Benz,5.15,70651,740,49156,1595,1425,2016,35663,115,1,104800,0,1,0,0,0,0,0,1,0
BMW,1.72,110000,1210,92667,1997,1610,2013,43457,135,1,48500,0,1,0,0,0,0,0,1,0
Toyota,5,86000,1196,38610,1986,1610,2015,32170,111,1,87800,0,0,0,0,1,0,0,1,0
Toyota,6.88,30722,976,39903,1798,1355,2017,19955,105,1,82800,0,0,1,0,0,0,0,1,0
Subaru,9.1,12613,1208,37989,1995,1591,2019,18515,115,1,120988,0,0,0,0,1,0,0,1,0
Mercedes-Benz,8.51,30000,586,37900,1332,1375,2018,35837,120,1,143800,1,0,0,0,0,0,0,1,0
Mitsubishi,5.04,68000,738,53694,1590,1284,2016,13855,86,1,52800,0,0,0,1,0,0,0,1,0
Mitsubishi,5.96,69513,1210,54406,1998,1417,2017,17452,110,1,63800,0,0,0,0,1,0,0,1,0
Mercedes-Benz,4.43,108000,740,58109,1595,1425,2015,39409,115,1,95800,0,1,0,0,0,0,0,1,0
Honda,8.09,30000,578,36704,1317,1030,2019,16011,73,1,71800,1,0,0,0,0,0,0,1,0
Honda,6.91,142000,826,38192,1339,1010,2008,12035,73,3,46800,1,0,0,0,0,0,0,1,0
Mitsubishi,5.7,70000,1636,52807,2360,1625,2016,23447,123,1,81000,0,0,0,0,1,0,0,1,0
Toyota,2.2,132621,736,17099,1297,1040,2007,13855,68,4,18998,1,0,0,0,0,0,0,1,0
Kia,2.17,207000,959,17099,1591,1303,2008,10336,89,3,18000,1,0,0,0,0,0,0,1,0
Volkswagen,7.72,26000,624,26301,1395,1270,2018,24682,92,1,106800,1,0,0,0,0,0,0,1,0
Toyota,5.27,70000,976,57010,1798,1360,2016,19955,105,1,70800,0,0,1,0,0,0,0,1,0
Mitsubishi,5.68,122200,1636,53106,2360,1625,2016,23447,123,1,79800,0,0,0,0,1,0,0,1,0
Volkswagen,5.06,99000,624,53694,1395,1249,2015,23854,92,1,67988,1,0,0,0,0,0,0,1,0
Mitsubishi,8.21,33000,1210,40001,1998,1480,2018,19374,110,1,103800,0,0,0,0,1,0,0,1,0
Honda,8.26,19520,682,31783,1496,1130,2019,20091,97,1,81800,0,0,0,0,0,0,1,1,0
Audi,2.56,115000,1194,77501,1984,1565,2013,38193,132,1,56800,0,1,0,0,0,0,0,1,0
Honda,5.96,45000,684,51600,1498,1046,2016,17792,96,1,62999,1,0,0,0,0,0,0,1,0
Mercedes-Benz,6.1,60000,1202,50110,1991,1735,2017,48334,155,1,163888,0,0,0,0,1,0,0,1,0
Hyundai,7.48,45000,738,31301,1591,1594,2018,22683,130,1,99800,0,0,0,0,1,0,0,1,0
BMW,5.86,90700,1210,54405,1998,1540,2017,53252,185,1,161800,0,1,0,0,0,0,0,1,0
Mercedes-Benz,9.9,158402,742,42283,1597,1500,2011,31019,115,3,75998,0,1,0,0,0,0,0,1,0
Toyota,4.31,84500,1210,60001,1998,1480,2015,27591,123,1,65800,0,1,0,0,0,0,0,1,0
Honda,1.48,173921,1369,25084,1799,1410,2007,19650,103,5,16998,0,0,0,0,1,0,0,1,0
Toyota,4.99,158000,1458,46048,1794,1300,2006,20824,97,3,33888,0,0,1,0,0,0,0,1,0
Mercedes-Benz,9.15,132000,1071,33568,1796,1650,2010,56996,150,3,80500,0,1,0,0,0,0,0,1,0
Audi,5.4,41900,976,56340,1798,1645,2016,40383,140,1,100800,0,1,0,0,0,0,0,1,0
Mercedes-Benz,7.53,17000,586,31101,1332,1375,2018,32046,120,1,128800,1,0,0,0,0,0,0,1,0
MINI,3.67,77988,742,62002,1598,1295,2014,26027,88,1,70700,1,0,0,0,0,0,0,1,0
BMW,9.4,10799,1210,40301,1998,1685,2019,40234,135,1,203800,0,0,0,0,1,0,0,1,0
Honda,2.51,112483,887,13786,1496,1310,2008,20212,87,4,23999,0,0,1,0,0,0,0,1,0
Mercedes-Benz,5.12,53873,740,52301,1595,1425,2015,26882,90,1,76988,1,0,0,0,0,0,0,1,0
Mercedes-Benz,3.97,60400,740,57199,1595,1395,2015,22896,90,2,59800,1,0,0,0,0,0,0,1,0
Mazda,6.77,56000,682,36001,1496,1310,2017,14299,88,2,66800,0,0,0,1,0,0,0,1,0
Volkswagen,5.98,47000,976,54556,1798,1480,2016,31374,132,1,88988,0,1,0,0,0,0,0,1,0
Skoda,9.47,3000,684,41101,1498,1393,2019,23639,110,1,130988,0,0,0,0,1,0,0,1,0
Audi,0.81,133000,1194,78000,1984,1550,2011,49328,155,3,43800,0,0,0,0,0,1,0,1,0
Mercedes-Benz,9.22,12500,586,35001,1332,1385,2020,38854,120,1,168000,0,1,0,0,0,0,0,1,0
BMW,7.57,20300,1210,30959,1998,1460,2018,40395,141,2,139777,0,0,0,0,1,0,0,1,0
Volkswagen,5.79,67000,1194,46229,1984,1790,2017,34815,162,1,98500,0,0,1,0,0,0,0,1,0
Toyota,5.27,33888,682,46009,1496,1320,2016,21301,80,1,61999,0,0,1,0,0,0,0,1,0
BMW,2.45,102000,742,72609,1598,1405,2013,31290,100,3,45900,0,1,0,0,0,0,0,1,0
Mercedes-Benz,5.93,63200,1202,54000,1991,1615,2017,59745,155,1,156800,0,1,0,0,0,0,0,1,0
Nissan,2.34,180256,1573,16140,1997,1450,2008,25376,100,3,19800,0,1,0,0,0,0,0,1,0
BMW,9.14,120000,1976,33568,2497,1650,2010,38161,150,2,80800,0,1,0,0,0,0,0,1,0
Mercedes-Benz,8.11,19500,740,27000,1595,1435,2019,28463,90,1,124388,0,0,0,0,1,0,0,1,0
Mazda,8.4,134000,1454,37502,1999,1151,2009,38518,118,5,110000,0,0,0,0,0,1,0,1,0
Volkswagen,6.19,15000,624,46778,1395,1249,2016,20318,92,1,75800,1,0,0,0,0,0,0,1,0
BMW,9.36,6300,1210,40790,1998,1460,2020,47796,135,1,188000,0,1,0,0,0,0,0,1,0
Toyota,4.22,140000,742,55889,1598,1205,2015,17452,90,3,53800,0,0,0,1,0,0,0,1,0
Mercedes-Benz,7.88,17800,740,26659,1595,1435,2018,27652,90,1,121688,0,0,0,0,1,0,0,1,0
Honda,7.9,141000,1174,35411,1799,1350,2008,21681,103,2,52500,0,0,1,0,0,0,0,1,0
Toyota,1.48,112000,955,20997,1496,1130,2007,13673,81,3,12000,0,0,0,1,0,0,0,1,0
Mercedes-Benz,6.1,56000,740,46489,1595,1430,2017,28815,90,2,101800,0,1,0,0,0,0,0,1,0
Mitsubishi,2.76,143000,889,12763,1499,1313,2009,19788,80,3,23800,0,0,0,1,0,0,0,1,0
Kia,3.32,216000,886,14743,1591,1251,2009,11051,92,6,26500,0,0,0,1,0,0,0,1,0
BMW,7.57,63200,684,30851,1499,1415,2018,37248,103,2,132800,0,0,0,0,1,0,0,1,0
BMW,0.9,98232,1210,84590,1997,1620,2012,54920,180,1,49800,0,1,0,0,0,0,0,1,0
Honda,8.08,42500,682,26301,1496,1130,2019,19998,97,1,76800,0,0,0,0,0,0,1,1,0
BMW,0.09,136086,1796,67700,2497,1650,2011,44497,150,4,30000,0,1,0,0,0,0,0,1,0
Kia,8.76,10898,392,32999,998,1185,2019,19380,88,1,79800,0,0,0,0,1,0,0,1,0
